proyecto,codigo,cant,fecha_inventario
2502,070117,1100,2026-08-31
2502,070118,1000,2026-08-31
2502,070119,1100,2026-08-31
2502,070120,1500,2026-08-31
2502,070121,800,2026-08-31
2502,070122,900,2026-08-31
2502,070123,900,2026-08-31
2502,070124,1185,2026-08-31
2502,070125,3434,2026-08-31
2502,070126,120,2026-08-31
2502,100246,1,2026-08-31
2502,100312,28,2026-08-31
2502,100313,0,2026-08-31
2502,100314,20,2026-08-31
2502,100315,0,2026-08-31
2502,100316,1,2026-08-31
2502,100317,1,2026-08-31
2502,100324,0,2026-08-31
2502,100534,0,2026-08-31
2502,100614,0,2026-08-31
2502,100616,2,2026-08-31
2502,100622,0,2026-08-31
2502,100632,0,2026-08-31
2502,100657,2,2026-08-31
2502,100811,39,2026-08-31
2502,100814,38,2026-08-31
2502,100816,0,2026-08-31
2502,100821,114,2026-08-31
2502,100822,2,2026-08-31
2502,110211,0,2026-08-31
2502,120111,54,2026-08-31
2502,120117,125,2026-08-31
2502,120118,75,2026-08-31
2502,120119,140,2026-08-31
2502,120121,16,2026-08-31
2502,120125,6,2026-08-31
2502,120132,4,2026-08-31
2502,120134,7,2026-08-31
2502,120212,93,2026-08-31
2502,120222,64,2026-08-31
2502,120232,27,2026-08-31
2502,120242,72,2026-08-31
2502,120252,73,2026-08-31
2502,120262,20,2026-08-31
2502,120311,3,2026-08-31
2502,120312,563,2026-08-31
2502,120351,29,2026-08-31
2502,120381,40,2026-08-31
2502,120382,28,2026-08-31
2502,120411,0,2026-08-31
2502,120412,0,2026-08-31
2502,120431,1,2026-08-31
2502,120440,2,2026-08-31
2502,120451,4,2026-08-31
2502,120471,2,2026-08-31
2502,120512,2,2026-08-31
2502,120521,30,2026-08-31
2502,120528,86,2026-08-31
2502,120531,30,2026-08-31
2502,120532,0,2026-08-31
2502,120550,2,2026-08-31
2502,120553,59,2026-08-31
2502,120616,0,2026-08-31
2502,120618,1,2026-08-31
2502,120619,1,2026-08-31
2502,120701,204,2026-08-31
2502,120702,4,2026-08-31
2502,120703,10,2026-08-31
2502,120751,41,2026-08-31
2502,120772,5,2026-08-31
2502,120784,3,2026-08-31
2502,120793,0,2026-08-31
2502,170111,0,2026-08-31
2502,170121,0,2026-08-31
2502,170211,0,2026-08-31
2502,170221,0,2026-08-31
2502,170231,0,2026-08-31
2502,180121,250,2026-08-31
2502,190111,0,2026-08-31
2502,210112,61,2026-08-31
2502,260111,0,2026-08-31
2502,260178,70,2026-08-31
2502,270111,100,2026-08-31
2502,300115,0,2026-08-31
2502,300119,32,2026-08-31
2502,300224,0,2026-08-31
2502,310131,0,2026-08-31
2502,370110,3,2026-08-31
2502,370111,5,2026-08-31
2502,370112,5,2026-08-31
2502,370113,9,2026-08-31
2502,370118,1,2026-08-31
2502,370121,0,2026-08-31
2502,370122,0,2026-08-31
2502,370123,0,2026-08-31
2502,370124,1,2026-08-31
2502,370131,8,2026-08-31
2502,370132,1,2026-08-31
2502,370133,1,2026-08-31
2502,370134,1,2026-08-31
2502,370135,1,2026-08-31
2502,370137,3,2026-08-31
2502,370144,2,2026-08-31
2502,370213,2,2026-08-31
2502,370215,3,2026-08-31
2502,370216,41,2026-08-31
2502,370218,3,2026-08-31
2502,370220,1,2026-08-31
2502,370221,0,2026-08-31
2502,370222,2,2026-08-31
2502,370223,9,2026-08-31
2502,370225,13,2026-08-31
2502,370226,3,2026-08-31
2502,370229,280,2026-08-31
2502,370230,1,2026-08-31
2502,370231,1,2026-08-31
2502,370232,1,2026-08-31
2502,370243,2,2026-08-31
2502,370245,0,2026-08-31
2502,370256,0,2026-08-31
2502,370258,2,2026-08-31
2502,370259,1,2026-08-31
2502,370260,0,2026-08-31
2502,370265,2,2026-08-31
2502,370266,3,2026-08-31
2502,370311,0,2026-08-31
2502,370312,0,2026-08-31
2502,370313,0,2026-08-31
2502,370322,0,2026-08-31
2502,370335,4,2026-08-31
2502,370336,2,2026-08-31
2502,370341,10,2026-08-31
2502,370342,16,2026-08-31
2502,370343,1400,2026-08-31
2502,370344,1250,2026-08-31
2502,370347,1000,2026-08-31
2502,370349,0,2026-08-31
2502,370350,0,2026-08-31
2502,370351,1,2026-08-31
2502,370354,26,2026-08-31
2502,370355,5,2026-08-31
2502,370357,10,2026-08-31
2502,370358,450,2026-08-31
2502,370359,1,2026-08-31
2502,370415,25,2026-08-31
2502,370416,25,2026-08-31
2502,370421,26,2026-08-31
2502,370422,15,2026-08-31
2502,370423,80,2026-08-31
2502,370425,50,2026-08-31
2502,370428,50,2026-08-31
2502,370430,30,2026-08-31
2502,370434,125,2026-08-31
2502,370435,0,2026-08-31
2502,370436,50,2026-08-31
2502,370437,45,2026-08-31
2502,370438,41,2026-08-31
2502,370441,40,2026-08-31
2502,370444,24,2026-08-31
2502,370451,50,2026-08-31
2502,370452,40,2026-08-31
2502,370516,0,2026-08-31
2502,370531,1,2026-08-31
2502,370551,8,2026-08-31
2502,370585,2,2026-08-31
2502,370612,5,2026-08-31
2502,370613,7,2026-08-31
2502,370615,5,2026-08-31
2502,380101,0,2026-08-31
2502,390110,0,2026-08-31
2502,390114,0,2026-08-31
2502,390115,22,2026-08-31
2502,390116,0,2026-08-31
2502,390119,2,2026-08-31
2502,390120,0,2026-08-31
2502,390123,1,2026-08-31
2502,390124,1,2026-08-31
2502,390125,170,2026-08-31
2502,390126,0,2026-08-31
2502,390127,3,2026-08-31
2502,390128,1,2026-08-31
2502,390129,2,2026-08-31
2502,390131,0,2026-08-31
2502,390132,0,2026-08-31
2502,390136,9,2026-08-31
2502,390138,9,2026-08-31
2502,390139,1,2026-08-31
2502,390141,0,2026-08-31
2502,390143,0,2026-08-31
2502,390144,0,2026-08-31
2502,390145,10,2026-08-31
2502,390152,64,2026-08-31
2502,390153,1,2026-08-31
2502,390157,1,2026-08-31
2502,390158,1,2026-08-31
2502,390160,2,2026-08-31
2502,390161,0,2026-08-31
2502,390162,0,2026-08-31
2502,390163,0,2026-08-31
2502,390164,1,2026-08-31
2502,390165,0,2026-08-31
2502,390166,0,2026-08-31
2502,390168,0,2026-08-31
2502,390169,1,2026-08-31
2502,390170,2,2026-08-31
2502,390172,1,2026-08-31
2502,390173,2,2026-08-31
2502,430194,0,2026-08-31
2502,440111,0,2026-08-31
2502,460111,2,2026-08-31
2502,510111,0,2026-08-31
2502,510122,0,2026-08-31
2502,510211,0,2026-08-31
2502,510212,0,2026-08-31
2502,510215,0,2026-08-31
2502,510216,0,2026-08-31
2502,510219,0,2026-08-31
2502,510222,0,2026-08-31
2502,530101,0,2026-08-31
2502,540111,14,2026-08-31
2502,540212,2,2026-08-31
2502,540213,7,2026-08-31
2502,540221,16,2026-08-31
2502,540310,8,2026-08-31
2502,540311,1,2026-08-31
2502,540313,0,2026-08-31
2502,540316,0,2026-08-31
2502,540350,5,2026-08-31
2502,540410,4,2026-08-31
2502,540413,1,2026-08-31
2502,540421,0,2026-08-31
2502,540431,13,2026-08-31
2502,540511,2,2026-08-31
2502,550101,16,2026-08-31
2502,590112,1,2026-08-31
2502,590123,4,2026-08-31
2502,590125,0,2026-08-31
2502,590211,7,2026-08-31
2502,590212,0,2026-08-31
2502,590222,0,2026-08-31
2502,590311,0,2026-08-31
2502,590314,0,2026-08-31
2502,600111,0,2026-08-31
2502,600113,0,2026-08-31
2502,600121,29,2026-08-31
2502,600131,11,2026-08-31
2502,600132,20,2026-08-31
2502,600133,0,2026-08-31
2502,600220,4,2026-08-31
2502,610121,0,2026-08-31
2502,610166,0,2026-08-31
2502,610168,0,2026-08-31
2502,610211,2,2026-08-31
2502,610213,5,2026-08-31
2502,610214,2,2026-08-31
2502,610216,18,2026-08-31
2502,650131,0,2026-08-31
2502,650132,0,2026-08-31
2502,650429,0,2026-08-31
2502,720121,40,2026-08-31
2502,720122,40,2026-08-31
2502,720123,40,2026-08-31
2502,720124,9,2026-08-31
2502,720125,14,2026-08-31
2502,720126,11,2026-08-31
2502,720127,4,2026-08-31
2502,720129,3,2026-08-31
2502,720130,3,2026-08-31
2502,720131,10,2026-08-31
2502,720132,7,2026-08-31
2502,720141,12,2026-08-31
2502,720143,12,2026-08-31
2502,720146,51,2026-08-31
2502,720147,15,2026-08-31
2502,720148,23,2026-08-31
2502,720149,3,2026-08-31
2502,720152,1,2026-08-31
2502,720153,4,2026-08-31
2502,720155,11,2026-08-31
2502,720156,33,2026-08-31
2502,720157,3,2026-08-31
2502,720159,3,2026-08-31
2502,720160,22,2026-08-31
2502,720163,47,2026-08-31
2502,720164,26,2026-08-31
2502,720165,3,2026-08-31
2502,720166,6,2026-08-31
2502,720170,7,2026-08-31
2502,720172,53,2026-08-31
2502,720173,9,2026-08-31
2502,720174,10,2026-08-31
2502,720181,20,2026-08-31
2502,720182,10,2026-08-31
2502,720183,25,2026-08-31
2502,720184,7,2026-08-31
2502,720185,8,2026-08-31
2502,720186,34,2026-08-31
2502,720187,8,2026-08-31
2502,720189,0,2026-08-31
2502,720190,0,2026-08-31
2502,720191,0,2026-08-31
2502,720211,26,2026-08-31
2502,720212,100,2026-08-31
2502,720213,2040,2026-08-31
2502,720214,24,2026-08-31
2502,720231,201,2026-08-31
2502,720232,14,2026-08-31
2502,720233,188,2026-08-31
2502,720234,38,2026-08-31
2502,720251,8,2026-08-31
2502,720252,124,2026-08-31
2502,720253,146,2026-08-31
2502,720254,0,2026-08-31
2502,720271,32,2026-08-31
2502,720272,200,2026-08-31
2502,720273,1100,2026-08-31
2502,720274,0,2026-08-31
2502,720323,479,2026-08-31
2502,720325,3000,2026-08-31
2502,720331,91,2026-08-31
2502,720353,0,2026-08-31
2502,720357,3,2026-08-31
2502,810111,15,2026-08-31
2502,810131,0,2026-08-31
2502,810132,2,2026-08-31
2502,810140,0,2026-08-31
2502,810141,0,2026-08-31
2502,810211,29,2026-08-31
2502,810234,0,2026-08-31
2502,810311,1,2026-08-31
2502,810411,0,2026-08-31
2502,810512,0,2026-08-31
2502,810514,0,2026-08-31
2502,810611,5,2026-08-31
2502,810621,0,2026-08-31
2502,810631,1,2026-08-31
2502,810632,2,2026-08-31
2502,810641,0,2026-08-31
2502,810711,0,2026-08-31
2502,810712,2,2026-08-31
2502,810751,44,2026-08-31
2502,810755,10,2026-08-31
2502,810758,90,2026-08-31
2502,810813,18,2026-08-31
2502,810818,9,2026-08-31
2502,810819,4,2026-08-31
2502,810820,11,2026-08-31
2502,810823,0,2026-08-31
2502,810825,11,2026-08-31
2502,810826,0,2026-08-31
2502,810827,11,2026-08-31
2502,810829,11,2026-08-31
2502,810830,9,2026-08-31
2502,810831,5,2026-08-31
2502,810851,2,2026-08-31
2502,810852,11,2026-08-31
2502,810853,2,2026-08-31
2502,810854,5,2026-08-31
2502,810855,11,2026-08-31
2502,810856,7,2026-08-31
2502,810857,11,2026-08-31
2502,810858,10,2026-08-31
2502,810859,11,2026-08-31
2502,810860,4,2026-08-31
2502,830112,0,2026-08-31
2502,830215,352,2026-08-31
2502,830217,200,2026-08-31
2502,830227,0,2026-08-31
2502,830228,0,2026-08-31
2502,830229,1,2026-08-31
2502,830233,2,2026-08-31
2502,830239,0,2026-08-31
2502,830242,3,2026-08-31
2502,830243,4,2026-08-31
2502,830245,160,2026-08-31
2502,830252,151,2026-08-31
2502,830313,1,2026-08-31
2502,830315,1,2026-08-31
2502,830321,1,2026-08-31
2502,830334,1,2026-08-31
2502,830335,0,2026-08-31
2502,840101,0,2026-08-31
2502,850110,90,2026-08-31
2502,850111,9,2026-08-31
2502,850112,40,2026-08-31
2502,850113,27,2026-08-31
2502,850211,6,2026-08-31
2502,860111,10,2026-08-31
2502,860112,1,2026-08-31
2502,860113,1,2026-08-31
2502,860114,0,2026-08-31
2502,860212,6,2026-08-31
2502,860215,2,2026-08-31
2502,860241,0,2026-08-31
2502,860242,1,2026-08-31
2502,860251,2,2026-08-31
2502,860262,1,2026-08-31
2502,860271,2,2026-08-31
2502,860321,4,2026-08-31
2502,860415,0,2026-08-31
2502,860421,24,2026-08-31
2502,860422,17,2026-08-31
2502,860441,2,2026-08-31
2502,860451,7,2026-08-31
2502,860452,6,2026-08-31
2502,860453,0,2026-08-31
2502,860454,0,2026-08-31
2502,860456,2,2026-08-31
2502,870111,0,2026-08-31
2502,870112,0,2026-08-31
2502,900111,37,2026-08-31
2502,900112,66,2026-08-31
2502,900113,37,2026-08-31
2502,900116,11,2026-08-31
2502,900117,0,2026-08-31
2502,900118,43,2026-08-31
2502,900119,40,2026-08-31
2502,900120,0,2026-08-31
2502,900121,13,2026-08-31
2502,900122,49,2026-08-31
2502,900123,2,2026-08-31
2502,900124,1,2026-08-31
2502,900127,0,2026-08-31
2502,900128,32,2026-08-31
2502,900129,4,2026-08-31
2502,900130,0,2026-08-31
2502,900132,0,2026-08-31
2502,900135,18,2026-08-31
2502,900139,28,2026-08-31
2502,900140,78,2026-08-31
2502,900141,105,2026-08-31
2502,900142,7,2026-08-31
2502,900145,94,2026-08-31
2502,900146,197,2026-08-31
2502,900147,257,2026-08-31
2502,900148,86,2026-08-31
2502,900150,10,2026-08-31
2502,900151,1,2026-08-31
2502,900153,2,2026-08-31
2502,910101,0,2026-08-31
2502,930151,1,2026-08-31
2502,930171,2,2026-08-31
2502,930221,52,2026-08-31
2502,930224,24,2026-08-31
2502,930225,10,2026-08-31
2502,930241,10,2026-08-31
2502,930271,80,2026-08-31
2502,930282,27,2026-08-31
2502,930411,1,2026-08-31
2502,930421,0,2026-08-31
2502,940111,0,2026-08-31
2502,950411,3,2026-08-31
2502,950412,5,2026-08-31
2502,950416,0,2026-08-31
2502,950418,0,2026-08-31
2502,950447,2,2026-08-31
2502,950451,28,2026-08-31
2502,950452,0,2026-08-31
2502,970610,1,2026-08-31
2502,970611,0,2026-08-31
2502,970613,0,2026-08-31
2502,970614,0,2026-08-31
