proyecto,obra,incidencia,fecha,doc,codigo,material,unidad,cantidad,obs
2502,DANAUS,Salida con cantidad positiva (signo invertido),2025-06-07,T001-1369,210112,CEMENTO PORTLAND TIPO IP (42.5kg) YURA®,UND,200.0,
2502,DANAUS,Salida con cantidad positiva (signo invertido),2025-11-19,T001-8209,210112,CEMENTO PORTLAND TIPO IP (42.5kg) YURA®,UND,100.0,
2502,DANAUS,Salida con cantidad positiva (signo invertido),2026-07-06,S/N,020221,ALAMBRE NEGRO RECOCIDO N° 16,KG,100.0,
2502,DANAUS,Salida con cantidad positiva (signo invertido),2026-07-10,RQ-329,810641,SIKAREP®-350 (MORTERO DE REPARACION),UND,10.0,
2502,DANAUS,Salida con cantidad positiva (signo invertido),2026-07-15,S/N,900146,UNION COPLA THC BETA PP-RCT DE 20MM,UND,13.0,DEVOLUCION
2502,DANAUS,Salida con cantidad positiva (signo invertido),2026-07-15,S/N,900147,UNION COPLA THC BETA PP-RCT DE 25MM,UND,23.0,DEVOLUCION
2502,DANAUS,Salida con cantidad positiva (signo invertido),2026-07-15,S/N,900153,CODO THC BETA PP-RCT DE 20MM X 45°,UND,2.0,DEVOLUCION
2502,DANAUS,Salida con cantidad positiva (signo invertido),2026-07-15,S/N,900119,CODO THC BETA PP-RCT DE 32MM X 90°,UND,1.0,DEVOLUCION
2502,DANAUS,Salida con cantidad positiva (signo invertido),2026-07-15,S/N,900122,CURVA DE SOBREPASAJE PP-RCT THC DE 25mm,UND,2.0,DEVOLUCION
2502,DANAUS,Salida con cantidad positiva (signo invertido),2026-07-15,S/N,900128,REDUCCION COPLA THC BETA  PP-RCT DE 32MM A 25MM,UND,1.0,DEVOLUCION
2502,DANAUS,Salida con cantidad positiva (signo invertido),2026-07-15,S/N,900139,TEE THC BETA PP-RCT DE 20MM,UND,21.0,DEVOLUCION
2502,DANAUS,Salida con cantidad positiva (signo invertido),2026-07-15,S/N,900129,ADAPTADOR (TERMINAL) INSERTO MACHO ROSCA PPR DE 20MM THC,UND,1.0,DEVOLUCION
2502,DANAUS,Salida con cantidad positiva (signo invertido),2026-08-20,001-00994,120121,PANEL DE EMBUTIR PARA EMPOTRAR CON DICROICO INCORPORADO 8W NEGRO,UND,7.0,DEVOLUCION DICROICO SPOT NEGRO
2502,DANAUS,Salida con cantidad positiva (signo invertido),2026-08-28,002-0000526,720173,"UNION 4"" PVC PESADO DESAGUE",UND,1.0,DEVOLUCION
